hotel_name,price_per_night,rating,location_type,available_rooms,city
Backpacker Hostel Delhi,400,4.0,low budget,8,Delhi
City Budget Inn,600,3.8,low budget,5,Delhi
Wanderers Nest,500,4.4,low budget,6,Delhi
Hotel Ginger,750,4.1,low budget,10,Delhi
Hostel Buzz,550,4.2,low budget,7,Delhi
Budget Residency,650,3.9,low budget,4,Delhi
Clarion Collection Suites,1200,4.3,medium,4,Delhi
The Leela Ambience,1500,4.5,medium,3,Delhi
Novotel New Delhi,1400,4.4,medium,5,Delhi
ITC Grand Central,1600,4.6,medium,4,Delhi
Crowne Plaza,1300,4.2,medium,6,Delhi
Park Hotel New Delhi,1100,4.1,medium,5,Delhi
The Oberoi New Delhi,3500,4.9,luxury,2,Delhi
Taj Palace New Delhi,4000,4.9,luxury,2,Delhi
Leela Palace New Delhi,4500,4.9,luxury,1,Delhi
Hyatt Regency Delhi,3800,4.8,luxury,3,Delhi
The Lodhi,3200,4.7,luxury,4,Delhi
Ashok Hotel,2800,4.6,luxury,2,Delhi
Jaipur Hostel,350,4.1,low budget,10,Jaipur
Pink City Budget Hotel,450,3.9,low budget,8,Jaipur
Nomads Jaipur,500,4.3,low budget,6,Jaipur
Royal Budget Inn,400,4.0,low budget,7,Jaipur
Raj Mahal Hostel,480,4.2,low budget,5,Jaipur
Backpacker Jaipur,420,4.0,low budget,9,Jaipur
Alsisar Haveli,1100,4.4,medium,4,Jaipur
Fairfield by Marriott,1300,4.6,medium,5,Jaipur
The Fern Residency,1200,4.3,medium,6,Jaipur
Ramada Jaipur,1000,4.1,medium,4,Jaipur
Lemon Tree Hotel,950,4.2,medium,5,Jaipur
OYO Townhouse,900,4.0,medium,7,Jaipur
Rambagh Palace,4500,4.9,luxury,1,Jaipur
Taj Jai Mahal,3800,4.9,luxury,2,Jaipur
Rajputana Palace Sheraton,2800,4.8,luxury,3,Jaipur
Samode Palace,3200,4.8,luxury,2,Jaipur
Mandawa Haveli Heritage,2500,4.7,luxury,2,Jaipur
The Lalit,2200,4.6,luxury,3,Jaipur
Goa Backpackers,350,4.2,low budget,12,Goa
Sea Breeze Hostel,400,4.0,low budget,8,Goa
Sunburn Hostel,450,4.3,low budget,10,Goa
Budget Rooms Baga,380,3.9,low budget,6,Goa
Nomad Pads Goa,420,4.1,low budget,7,Goa
Coral Beach Hostel,390,4.0,low budget,9,Goa
Alila Diwa Goa,1500,4.6,medium,5,Goa
Radisson Blu Goa,1600,4.7,medium,4,Goa
Vivanta by Taj,1400,4.5,medium,6,Goa
Novotel Goa,1300,4.4,medium,5,Goa
Park Hyatt Goa,1450,4.6,medium,3,Goa
Taj Exotica Resort,1200,4.3,medium,4,Goa
Taj Aguada,3500,4.9,luxury,2,Goa
Leela Goa,4000,4.9,luxury,1,Goa
The Sands Goa,3200,4.8,luxury,2,Goa
Fort Aguada Beach Resort,2800,4.7,luxury,3,Goa
Neemrana Fort Palace,2500,4.8,luxury,2,Goa
SwaSwara Resort,3000,4.8,luxury,2,Goa
Hyderabad Budget Stay,300,4.0,low budget,10,Hyderabad
